Date,Temperature,Humidity,Wind_Speed,Preciptation,City
29/08/2013,68,75,11,0,San Francisco
30/08/2013,69,70,13,0,San Francisco
31/08/2013,64,75,15,0,San Francisco
01/09/2013,66,68,13,0,San Francisco
02/09/2013,69,77,12,0,San Francisco
03/09/2013,67,65,15,0,San Francisco
04/09/2013,68,72,19,0,San Francisco
05/09/2013,66,74,21,0,San Francisco
06/09/2013,71,58,8,0,San Francisco
07/09/2013,73,59,8,0,San Francisco
08/09/2013,65,70,11,0,San Francisco
09/09/2013,66,70,11,0,San Francisco
10/09/2013,66,73,8,0,San Francisco
11/09/2013,68,68,9,0,San Francisco
12/09/2013,65,73,11,0,San Francisco
13/09/2013,62,80,15,0,San Francisco
14/09/2013,62,77,16,0,San Francisco
15/09/2013,66,72,13,0,San Francisco
16/09/2013,65,74,16,0,San Francisco
17/09/2013,63,72,22,0,San Francisco
18/09/2013,66,60,10,0,San Francisco
19/09/2013,67,58,10,0,San Francisco
20/09/2013,65,70,10,0,San Francisco
21/09/2013,63,75,12,0.23,San Francisco
22/09/2013,63,70,10,0,San Francisco
23/09/2013,68,64,9,0,San Francisco
24/09/2013,65,66,19,0,San Francisco
25/09/2013,62,64,20,0,San Francisco
26/09/2013,62,53,11,0,San Francisco
27/09/2013,66,46,7,0,San Francisco
28/09/2013,66,60,9,0,San Francisco
29/09/2013,66,70,7,0,San Francisco
30/09/2013,66,69,10,0,San Francisco
01/10/2013,63,61,13,0,San Francisco
02/10/2013,62,61,14,0,San Francisco
03/10/2013,62,47,13,0,San Francisco
04/10/2013,69,38,9,0,San Francisco
05/10/2013,69,36,5,0,San Francisco
06/10/2013,70,40,5,0.01,San Francisco
07/10/2013,68,46,9,0,San Francisco
08/10/2013,62,59,10,0,San Francisco
09/10/2013,60,60,8,0,San Francisco
10/10/2013,62,61,5,0,San Francisco
11/10/2013,57,70,9,0,San Francisco
12/10/2013,56,71,13,0,San Francisco
13/10/2013,62,60,7,0,San Francisco
14/10/2013,64,49,5,0,San Francisco
15/10/2013,67,40,5,0,San Francisco
16/10/2013,67,41,4,0,San Francisco
17/10/2013,68,56,7,0,San Francisco
18/10/2013,60,66,10,0,San Francisco
19/10/2013,62,65,9,0,San Francisco
20/10/2013,57,77,11,0,San Francisco
21/10/2013,55,80,9,0,San Francisco
22/10/2013,56,82,10,0,San Francisco
23/10/2013,55,83,9,0,San Francisco
24/10/2013,57,73,9,0,San Francisco
25/10/2013,59,69,9,0,San Francisco
26/10/2013,60,67,9,0,San Francisco
27/10/2013,55,76,18,0,San Francisco
28/10/2013,57,69,15,0,San Francisco
29/10/2013,58,66,7,0,San Francisco
30/10/2013,57,66,7,0,San Francisco
31/10/2013,59,54,4,0,San Francisco
01/11/2013,63,57,4,0,San Francisco
02/11/2013,57,73,13,0,San Francisco
03/11/2013,55,56,9,0,San Francisco
04/11/2013,56,56,9,0,San Francisco
05/11/2013,61,44,4,0,San Francisco
06/11/2013,61,52,0,0,San Francisco
07/11/2013,64,61,8,0,San Francisco
08/11/2013,60,72,8,0,San Francisco
09/11/2013,57,64,3,0,San Francisco
10/11/2013,58,72,5,0,San Francisco
11/11/2013,58,72,5,0,San Francisco
12/11/2013,64,62,7,0,San Francisco
13/11/2013,60,77,8,0,San Francisco
14/11/2013,56,84,13,0,San Francisco
15/11/2013,58,66,12,0,San Francisco
16/11/2013,56,67,14,0,San Francisco
17/11/2013,56,69,6,0,San Francisco
18/11/2013,53,69,5,0,San Francisco
19/11/2013,58,80,7,0.28,San Francisco
20/11/2013,55,90,7,0.63,San Francisco
21/11/2013,56,64,11,0,San Francisco
22/11/2013,63,30,14,0,San Francisco
23/11/2013,58,50,5,0,San Francisco
24/11/2013,53,70,3,0,San Francisco
25/11/2013,53,70,2,0,San Francisco
26/11/2013,55,65,2,0,San Francisco
27/11/2013,55,69,1,0,San Francisco
28/11/2013,58,64,4,0,San Francisco
29/11/2013,54,70,3,0,San Francisco
30/11/2013,54,79,4,0,San Francisco
01/12/2013,57,66,4,0,San Francisco
02/12/2013,54,80,14,0,San Francisco
03/12/2013,51,69,14,0,San Francisco
04/12/2013,46,46,5,0,San Francisco
05/12/2013,43,45,4,0,San Francisco
06/12/2013,45,65,9,0.29,San Francisco
07/12/2013,45,63,13,0.06,San Francisco
08/12/2013,42,53,10,0,San Francisco
09/12/2013,44,49,8,0,San Francisco
10/12/2013,43,56,3,0,San Francisco
11/12/2013,48,60,3,0,San Francisco
12/12/2013,46,67,4,0,San Francisco
13/12/2013,47,76,4,0,San Francisco
14/12/2013,50,61,2,0,San Francisco
